"builder_id","person_team_or_project","public_identity","current_affiliation","project","project_url","primary_technical_area","builder_pool","source_channel","latest_meaningful_signal","technical_artifact","technical_evidence","formation_evidence","commercialization_evidence","array_relevance","why_non_obvious","biggest_technical_question","biggest_formation_question","evidence_quality","source_urls"
"DZ-028","Weian Mao / TriAttention","github.com/WeianMao","UNKNOWN — arXiv co-authors include Wei Huang, Bohan Zhuang, Song Han, Yukang Chen","triattention","https://github.com/WeianMao/triattention","KV-cache compression","A","GitHub + arXiv","OBSERVED 2026-08-04: last push","Python; trigonometric KV-cache compression enabling local deployment on memory-constrained GPUs; 844 stars; Apache-2.0; created 2026-04-04","D-07 OBSERVED; TQ-4 OBSERVED — arXiv:2604.04921 'TriAttention: Efficient Long Reasoning with Trigonometric KV Compression' (2026-04-06); C-03 paper↔repo author overlap OBSERVED","No formation evidence. Research artifact","UNKNOWN","Theme 4","Paper-and-repo pair from a strong quantization research group","Does trigonometric compression degrade gracefully on long-reasoning traces, or cliff at a specific ratio?","This is research, not formation (NC-7). Watchlist relationship","HIGH","https://github.com/WeianMao/triattention | https://arxiv.org/abs/2604.04921"
"DZ-029","brontoguana / krasis","github.com/brontoguana","UNKNOWN — anonymous; no name, company, blog, or location","krasis","https://github.com/brontoguana/krasis","Hybrid LLM runtime for VRAM-limited hardware","U","GitHub","OBSERVED 2026-08-22: active","C++; hybrid LLM runtime focused on running larger models on consumer VRAM-limited hardware; 513 stars; 768 owner commits (sole contributor); created 2026-02-09","D-07 OBSERVED; D-03 OBSERVED; TQ-1 L3-L4 INFERRED; TQ-3 high OBSERVED","No formation evidence. State: BUILDING","UNKNOWN","Theme 4 (Edge Intelligence) — consumer-hardware inference is explicitly in that theme","768 solo commits and 10 followers. One of the highest construction-to-attention ratios found anywhere in the sweep","How does hybrid CPU/GPU scheduling avoid the memory-bandwidth wall that usually defeats offloading?","Identity is completely unresolved (ER-3). Cannot be introduced. Watchlist only — and DAY ZERO must not attempt to de-anonymize (data_ethics §7)","LOW (identity) / HIGH (artifact)","https://github.com/brontoguana/krasis"
"DZ-030","Youssof Altoukhi / MTPLX","github.com/youssofal (Youssof Altoukhi)","OBSERVED: self-published; London","MTPLX","https://github.com/youssofal/MTPLX","Apple Silicon speculative decoding","U","GitHub","OBSERVED 2026-08-22: active","Python/MLX; native MTP speculative decoding on Apple Silicon with no external drafter; 1,578 stars; 470 owner commits + 5 external contributors; Apache-2.0; created 2026-05-02","D-07 OBSERVED; TQ-6 specific claim OBSERVED ('3x faster speeds on MLX, Qwen 3.8 27B'); TQ-1 L3 INFERRED","F-01 mtplx.com OBSERVED. ONE channel","UNKNOWN","Theme 4 (Edge Intelligence) — on-device inference efficiency","90 followers; self-described as having '50 open projects maybe 1 or 2 released', which is a candid focus risk","Does native MTP without an external drafter hold its 3x on models that were not MTP-trained?","Self-described project sprawl is a real formation question, not a character judgement","MEDIUM","https://github.com/youssofal/MTPLX | https://mtplx.com"
"DZ-031","pegainfer","github.com/xiaguan (JinYan Su, org: pegainfer-project)","UNKNOWN — no affiliation published","pegainfer","https://github.com/pegainfer-project/pegainfer","Pure Rust + CUDA inference engine","U","GitHub","OBSERVED 2026-08-21: active","Rust + CUDA, no PyTorch; OpenAI-compatible; serves Qwen3 to Kimi-K2; 655 stars; 492 top-contributor commits; 32 pages of contributors; Apache-2.0; created 2026-02-17","D-07 OBSERVED; D-03 OBSERVED; TQ-1 L4 INFERRED — writing an inference engine without PyTorch is genuinely hard; TQ-3 high OBSERVED","F-01 pegainfer.org OBSERVED; F-02 org OBSERVED. Note: .org domain suggests a project, not a company","UNKNOWN","Theme 4","345 followers; a from-scratch Rust/CUDA engine is a strong capability signal at low visibility","What does dropping PyTorch buy — latency, deployment size, or control? And what does it cost in model coverage?","The .org framing suggests community project rather than company. No founder statement","MEDIUM","https://github.com/pegainfer-project/pegainfer"
"DZ-032","smg / Simo Lin","github.com/slin1237 (org: smg-project)","UNKNOWN","smg","https://github.com/smg-project/smg","LLM gateway with KV-cache-aware routing","U","GitHub","OBSERVED 2026-08-23: active","Rust; engine-agnostic gateway across vLLM/TRT-LLM/SGLang/OpenAI/Gemini; gRPC pipeline, KV-cache-aware routing, tokenization caching, WASM plugins, MCP, multi-tenant auth; 471 stars; 1,048 top-contributor commits; 130 pages of contributors; Apache-2.0; created 2025-11-22","D-07 OBSERVED; D-04 OBSERVED; TQ-1 L3 INFERRED; TQ-8 unusually specific architecture claims OBSERVED","F-01 lightseek.org/smg OBSERVED. ONE channel","UNKNOWN","Theme 4 + Theme 3 (routing is a cost-control mechanism)","471 stars against 1,048 commits and 130 contributor pages — the ratio suggests a serious project with almost no marketing","Does KV-cache-aware routing produce measurable cost savings, or just measurable cache-hit rates?","No company entity or founder statement found","MEDIUM","https://github.com/smg-project/smg"
"DZ-033","unamedkr / quant.cpp","github.com/unamedkr (org: UNAMED)","OBSERVED: self-published org 'UNAMED', unamed.kr","quant.cpp","https://github.com/quantumaikr/quant.cpp","Lossless KV-cache compression","U","GitHub","OBSERVED 2026-04-26: last push — 4 months stale","C, zero dependencies, single-header; 399 stars; 788 owner commits; Apache-2.0; created 2026-03-28","TQ-6 STRONG claim OBSERVED ('7x longer context', 'Lossless KV cache compression') — 'lossless' is an unusually falsifiable word; D-07 OBSERVED","No formation evidence","UNKNOWN","Theme 4","788 commits in one month then silence — an intense burst by one person","Is the compression genuinely lossless, or lossless-within-a-quantization-grid? This is a one-afternoon experiment to settle","V-06 abandonment risk. Watchlist","MEDIUM","https://github.com/quantumaikr/quant.cpp"
"DZ-034","Ryan Codrai / turbovec","github.com/RyanCodrai (Ryan Codrai)","OBSERVED: self-published GitHub bio — 'Member of Technical Staff at Anthropic'","turbovec","https://github.com/RyanCodrai/turbovec","Vector index (Rust + Python bindings)","U","GitHub","OBSERVED 2026-08-21: active","Rust vector index built on TurboQuant with Python bindings on PyPI; 16,239 stars; 1,403 forks; 351 owner commits; MIT; created 2026-03-26","D-07 OBSERVED; D-03 OBSERVED; TQ-1 L3 INFERRED; TQ-7 PyPI distribution OBSERVED","ZERO formation signals. State: BUILDING. **Included as negative control NC-5**","UNKNOWN","Data/vector infrastructure","NOT a lead. Recorded to make explicit that employment at a frontier lab plus a strong side project is NOT formation evidence and must never be read as pre-departure intent","How does a quantized vector index trade recall against memory at billion-scale?","There is no formation question to ask. There is no evidence, and inferring intent would violate data_ethics §2","HIGH (artifact) / N/A (formation)","https://github.com/RyanCodrai/turbovec"
"DZ-035","Safi Shamsi / Graphify Labs","github.com/safishamsi (org: Graphify-Labs)","OBSERVED: self-published — 'CEO & Founder @Graphify-Labs, Knowledge Graph Researcher'; London","graphify","https://github.com/Graphify-Labs/graphify","Code knowledge graphs","B","GitHub","OBSERVED 2026-08-20: active","Python; turns a codebase plus docs, SQL schemas, configs and PDFs into a queryable knowledge graph; local deterministic AST parsing, every edge explained, no vector store; 109,629 stars; 1,025 top-contributor commits; Apache-2.0; created 2026-04-03","D-06 OBSERVED (AST parsing, graph construction); D-02 originality INFERRED — 'no vector store' is a deliberate architectural stance; TQ-8 strong","F-01 graphify.com OBSERVED; F-02 org created 2026-06-28 OBSERVED; F-03 explicit 'CEO & Founder' bio OBSERVED. THREE signals","UNKNOWN","Theme 7 (Knowledge-infused AI / context management) and data infrastructure","NOT non-obvious — 109k stars and 2,015 followers. Recorded as a landscape anchor and as an example of the FORMING state fully satisfied","Does deterministic AST-based graph retrieval beat embedding retrieval on real cross-file reasoning, or only on citation traceability?","Already highly visible. If Array wants this, they already know","HIGH","https://github.com/Graphify-Labs/graphify | https://www.graphify.com"
"DZ-036","Mert Köseoğlu / context-mode","github.com/mksglu (Mert Köseoğlu)","OBSERVED: self-published — bio reads 'building'; London; mksg.lu","context-mode","https://github.com/mksglu/context-mode","Context-window optimization","U","GitHub","OBSERVED 2026-08-22: active","TypeScript; sandboxes tool output, persists session memory, enforces routing across 17 platforms via MCP + hooks; 20,095 stars; 1,372 owner commits; created 2026-02-23","TQ-6 specific claim OBSERVED ('98% tool-output reduction'); TQ-1 L1 vs L3 UNRESOLVED — reproduction candidate; D-08 adjacent","F-01 context-mode.com OBSERVED. ONE channel; no org, no company","UNKNOWN","Themes 3 and 7","High attention; included as a reproduction comparison point for EXP-1, not as a lead","Is 98% reduction achieved by truncation (information loss) or by transformation (preservation)? These are different products","No org, no company, no founder statement despite 20k stars","MEDIUM","https://github.com/mksglu/context-mode | https://context-mode.com"
"DZ-037","claw-eval","github.com/pkuYmiracle (org: claw-eval)","UNKNOWN — contributor handles suggest a Peking University affiliation; NOT VERIFIED","claw-eval","https://github.com/claw-eval/claw-eval","Agent evaluation harness","A","GitHub","OBSERVED 2026-08-23: active","Python; evaluation harness for LLMs-as-agents with all tasks human-verified; 752 stars; 46 top-contributor commits; MIT; created 2026-03-11; no releases; project page","D-08 OBSERVED; TQ-5 reproducibility OBSERVED — human-verified task set is the expensive, credible choice","F-02 org created 2026-03-10 OBSERVED. ONE channel. Academic shape","UNKNOWN","Adjacent to Array's themes: evaluation is the 'verify' step in Shruti's loop architecture and the gate against the Ralph Wiggum failure","Small and academic; human-verified eval sets are rare and costly","Does human verification of every task survive scaling, or become the bottleneck that kills the harness?","Research group or formation? Affiliation not verified","MEDIUM","https://github.com/claw-eval/claw-eval"
"DZ-038","responsibleai / ASSERT","github.com/changliu2 + AaronAspinwall123 (org: responsibleai)","UNKNOWN","ASSERT","https://github.com/responsibleai/ASSERT","Requirement-driven agent evaluation","U","GitHub","OBSERVED 2026-08-21: active","Python; generates behavior-specific test cases from requirements, runs against hosted models / callable wrappers / OTel-traced agents; local-first artifacts; 229 stars; 4 identified contributors; MIT; created 2026-04-30","D-08 OBSERVED; TQ-2 novel-application INFERRED (requirements → tests, rather than benchmark → score)","F-02 org OBSERVED; project page OBSERVED","UNKNOWN","Theme 2 (governance) + the verification gate in the loop architecture","229 stars; requirement-driven evaluation is a structurally different approach from leaderboard evals","Can behavior-specific test generation avoid testing only what the requirement author already thought of?","No founder statement; org name suggests a research/standards posture","MEDIUM","https://github.com/responsibleai/ASSERT"
"DZ-039","future-agi","github.com/nik13 (org: future-agi)","UNKNOWN — commercial site","future-agi","https://github.com/future-agi/future-agi","Agent eval + observability platform","U","GitHub","OBSERVED 2026-08-23: active","Python; tracing, evals, simulations, datasets, gateway, guardrails; self-hostable; 1,794 stars; 60 pages of contributors; Apache-2.0; created 2026-04-23; 736 open issues","D-08 OBSERVED; TQ-7 breadth OBSERVED; TQ-1 L2 INFERRED","F-01 futureagi.com OBSERVED; commercial entity. State: LAUNCHED","M-04 productized platform OBSERVED","Theme 2","Already a company; landscape anchor","Does an all-in-one eval+observability+gateway platform hold quality across six surfaces, or lose to focused tools?","Already launched. Not a lead","MEDIUM","https://github.com/future-agi/future-agi | https://futureagi.com"
"DZ-040","skyler / dbx","github.com/t8y2 (skyler)","OBSERVED: self-published; Beijing, China","dbx","https://github.com/t8y2/dbx","Cross-platform database client","U","GitHub","OBSERVED 2026-08-23: active","Rust; 20 MB client for 90+ databases; built-in MCP server, CLI, desktop, Docker; 16,282 stars; 3,166 owner commits; 220 pages of contributors; Apache-2.0; created 2026-04-29","D-06 OBSERVED (90+ database protocol implementations is real breadth); TQ-3 high OBSERVED","F-01 dbxio.com OBSERVED. ONE channel","UNKNOWN","Data infrastructure + agent tooling (MCP server for databases)","3,166 commits in four months by one person. Non-English-primary and therefore under-indexed by Western sourcing tools","Does MCP-native database access create an injection surface that a normal client does not have?","No company or founder statement","MEDIUM","https://github.com/t8y2/dbx"
"DZ-041","Gentleman-Programming / engram","github.com/Alan-TheGentleman (org: Gentleman-Programming)","UNKNOWN — org is an established community/education brand","engram","https://github.com/Gentleman-Programming/engram","Agent memory (Go + SQLite FTS5)","U","GitHub","OBSERVED 2026-08-17: active","Go binary, agent-agnostic; SQLite + FTS5, MCP server, HTTP API, CLI, TUI; 6,124 stars; 341 top-contributor commits; MIT; created 2026-02-16","D-09 INFERRED; TQ-1 L2 INFERRED — FTS5 over SQLite is competent, not novel; TQ-8 architecture explicitly stated (a positive)","Established community org — NC-6 shape. Not a new formation","UNKNOWN","Theme 7 (context management)","Included as the baseline competitor for reproduction experiment EXP-3 — its architecture is stated plainly enough to be measured against","Does lexical FTS5 retrieval beat embedding retrieval for coding-agent memory? A directly testable question","Established education/community brand, not a company formation","MEDIUM","https://github.com/Gentleman-Programming/engram"
"DZ-042","rohitg00 / agentmemory","github.com/rohitg00","UNKNOWN","agentmemory","https://github.com/rohitg00/agentmemory","Agent memory","U","GitHub","OBSERVED 2026-08-17: active","TypeScript; 27,283 stars; 399 owner commits; Apache-2.0; created 2026-02-25; agent-memory.dev","TQ-6 META-CLAIM OBSERVED ('#1 ... based on real-world benchmarks') — reproduction candidate EXP-3; TQ-1 L1-L2 INFERRED","F-01 agent-memory.dev OBSERVED. ONE channel","UNKNOWN","Theme 7","Not non-obvious. Included specifically because the '#1 based on benchmarks' claim is the cheapest high-value falsification target in the universe","Does a runnable benchmark exist that reproduces the claimed ranking?","No org or company entity","MEDIUM","https://github.com/rohitg00/agentmemory"
"DZ-043","MemPalace","github.com/igorls (org: MemPalace)","UNKNOWN","mempalace","https://github.com/MemPalace/mempalace","Agent memory","U","GitHub","OBSERVED 2026-08-22: active","Python; 58,564 stars; 7,510 forks; 930 top-contributor commits; MIT; created 2026-04-05","TQ-6 UNFALSIFIABLE claim OBSERVED ('the best-benchmarked open-source AI memory system' — no baseline, no numbers). Deliberate contrast with DZ-042","F-01 linktr.ee + mempalaceofficial.com OBSERVED — a linktree as the primary corporate surface is itself a signal","UNKNOWN","Theme 7","Included as a source-quality contrast case: 58k stars, a superlative claim, and no measurable content","What is the benchmark? There is no public answer","No company entity found","LOW","https://github.com/MemPalace/mempalace"
"DZ-044","vectorize-io / hindsight","github.com/nicoloboschi (org: vectorize-io)","UNKNOWN — org created 2021-04-03, commercial product site","hindsight","https://github.com/vectorize-io/hindsight","Agent memory that learns","U","GitHub","OBSERVED 2026-08-23: active","Python; 20,940 stars; 1,446 top-contributor commits; 200 pages of contributors; MIT; created 2025-10-30; hindsight.vectorize.io","D-09 INFERRED; TQ-7 mature project OBSERVED","Established company (org created 2021). State: LAUNCHED","M-03/M-04 productized OBSERVED","Theme 7","Existing company; landscape anchor, not a lead","How does a memory layer 'learn' without a feedback signal from task outcomes?","Already an established company","MEDIUM","https://github.com/vectorize-io/hindsight"
"DZ-045","Tracer-Cloud / opensre","github.com/davincios (org: Tracer-Cloud)","UNKNOWN","opensre","https://github.com/Tracer-Cloud/opensre","AI SRE agent toolkit","U","GitHub","OBSERVED 2026-08-23: active","Python; 10,792 stars; 885 top-contributor commits; 333 pages of contributors; Apache-2.0; created 2026-01-13","D-08 INFERRED; TQ-7 large contributor base OBSERVED","Established org with a Discord community. Commercial entity likely","UNKNOWN","Array's explicitly-wanted 'autonomous SOC and incident response' category (adjacent — SRE rather than security)","Large contributor base; NC-6 established-org shape","Does an AI SRE agent reduce MTTR, or shift human time from diagnosis to verifying the agent?","Established org","MEDIUM","https://github.com/Tracer-Cloud/opensre"
